"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Arbeitslose - Anteil","deutsch",2024,"Stadt München",3.1,22284.8,726741,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"01 Altstadt - Lehel",2.6,284.3,11023.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",3,849,28076.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"03 Maxvorstadt",2.7,781,29447,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"04 Schwabing - West",2.6,932.8,35939,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"05 Au - Haidhausen",3.1,1077.3,34584.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"06 Sendling",3.4,706.8,21060.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"07 Sendling - Westpark",3,840.5,27774.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"08 Schwanthalerhöhe",3.5,506.5,14469,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"09 Neuhausen - Nymphenburg",2.7,1333.5,49873.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"10 Moosach",3.3,770.8,23093.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"11 Milbertshofen - Am Hart",3.9,1093.8,28223.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"12 Schwabing - Freimann",3.2,1116,35387.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"13 Bogenhausen",2.5,1044,41911.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"14 Berg am Laim",3.9,759.5,19675.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"15 Trudering - Riem",2.7,974.8,36570.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"16 Ramersdorf - Perlach",4,1827.3,45931.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"17 Obergiesing - Fasangarten",3,760,25135,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"18 Untergiesing - Harlaching",3.1,808.8,26401.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2.9,1270.5,43448.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"20 Hadern",2.9,606.8,20925.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"21 Pasing - Obermenzing",2.6,974.3,37280,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"22 Aubing - Lochhausen - Langwied",3.3,762.8,23348,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"23 Allach - Untermenzing",2.4,386.3,16354.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"24 Feldmoching - Hasenbergl",3.4,847,25019.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2024,"25 Laim",3.5,897.5,25786,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"Stadt München",2.8,19973.3,725573.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"01 Altstadt - Lehel",2.2,244,10977.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
