"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Einpersonenhaushalte","bis 29 Jahre",2024,"Stadt München",21.3,99862,468540,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"01 Altstadt - Lehel",24.1,1934,8041,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"02 Ludwigsvorstadt - Isarvorstadt",25.2,4932,19609,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"03 Maxvorstadt",30.6,6752,22043,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"04 Schwabing - West",25.5,6391,25038,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"05 Au - Haidhausen",21.7,4823,22178,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"06 Sendling",20.2,2988,14790,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"07 Sendling - Westpark",22.5,4388,19498,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"08 Schwanthalerhöhe",21.5,2243,10444,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"09 Neuhausen - Nymphenburg",20.8,6835,32893,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"10 Moosach",20.7,3135,15178,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"11 Milbertshofen - Am Hart",22.8,4838,21222,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"12 Schwabing - Freimann",25.1,5718,22811,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"13 Bogenhausen",18.3,4719,25767,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"14 Berg am Laim",18.6,2647,14219,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"15 Trudering - Riem",17.4,2668,15302,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"16 Ramersdorf - Perlach",18.5,5524,29892,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"17 Obergiesing - Fasangarten",20.7,3789,18284,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"18 Untergiesing - Harlaching",18.8,3439,18246,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",18.4,5186,28129,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"20 Hadern",19.8,2502,12660,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"21 Pasing - Obermenzing",19.2,3833,19956,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"22 Aubing - Lochhausen - Langwied",20.6,2363,11469,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"23 Allach - Untermenzing",19.7,1400,7096,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"24 Feldmoching - Hasenbergl",19.7,2763,14031,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2024,"25 Laim",20.5,4052,19744,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"Stadt München",21.1,97420,461441,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"01 Altstadt - Lehel",23.4,1872,8007,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"02 Ludwigsvorstadt - Isarvorstadt",25,4820,19295,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"03 Maxvorstadt",30.6,6678,21832,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"04 Schwabing - West",25.5,6338,24892,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"05 Au - Haidhausen",21.8,4791,21989,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"06 Sendling",20.3,2992,14714,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"07 Sendling - Westpark",22.3,4301,19295,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"08 Schwanthalerhöhe",21.3,2204,10345,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"09 Neuhausen - Nymphenburg",20.5,6617,32340,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"10 Moosach",20.4,3050,14978,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"11 Milbertshofen - Am Hart",22.6,4714,20858,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"12 Schwabing - Freimann",24.8,5582,22501,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"13 Bogenhausen",18.1,4588,25404,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"14 Berg am Laim",18.7,2635,14082,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"15 Trudering - Riem",17.1,2565,15015,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"16 Ramersdorf - Perlach",18.3,5369,29274,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"17 Obergiesing - Fasangarten",20.6,3733,18078,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"18 Untergiesing - Harlaching",18.5,3360,18171,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",17.9,4900,27414,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"20 Hadern",19.7,2465,12496,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"21 Pasing - Obermenzing",18.9,3713,19627,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"22 Aubing - Lochhausen - Langwied",19.7,2132,10805,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"23 Allach - Untermenzing",19.2,1322,6901,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"24 Feldmoching - Hasenbergl",19.1,2584,13524,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2023,"25 Laim",20.9,4095,19604,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"Stadt München",20.9,94376,452585,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"01 Altstadt - Lehel",22.3,1777,7966,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"02 Ludwigsvorstadt - Isarvorstadt",24.7,4760,19257,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"03 Maxvorstadt",30,6492,21615,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"04 Schwabing - West",24.3,5901,24271,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"05 Au - Haidhausen",21.4,4570,21336,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"06 Sendling",20.2,2931,14497,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"07 Sendling - Westpark",21.9,4071,18616,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"08 Schwanthalerhöhe",21.7,2235,10316,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"09 Neuhausen - Nymphenburg",20.2,6473,31967,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"10 Moosach",20.1,2940,14662,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
"Einpersonenhaushalte","bis 29 Jahre",2022,"11 Milbertshofen - Am Hart",21.8,4470,20512,NA,NA,NA,"Privathaushalte (Einpersonen) (bis 29 Jahre)","Privathaushalte (Einpersonen)",NA,NA,NA
