"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Haushalte Alleinerziehend","insgesamt",2024,"Stadt München",3.3,28809,863334,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"01 Altstadt - Lehel",2.6,326,12656,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"02 Ludwigsvorstadt - Isarvorstadt",2.4,737,30399,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"03 Maxvorstadt",2.1,699,32693,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"04 Schwabing - West",2.5,1035,40883,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"05 Au - Haidhausen",3.2,1198,37377,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"06 Sendling",3.2,794,24441,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"07 Sendling - Westpark",3.1,1076,34903,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"08 Schwanthalerhöhe",3.3,562,17087,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"09 Neuhausen - Nymphenburg",3.4,1934,57395,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"10 Moosach",3.1,919,29462,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"11 Milbertshofen - Am Hart",3.8,1491,39329,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"12 Schwabing - Freimann",3.4,1367,40392,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"13 Bogenhausen",3.3,1666,50161,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"14 Berg am Laim",4,1024,25810,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"15 Trudering - Riem",4.1,1464,36114,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"16 Ramersdorf - Perlach",4.1,2514,61251,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"17 Obergiesing - Fasangarten",3.4,1054,30992,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"18 Untergiesing - Harlaching",3.1,982,31192,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3.3,1787,54556,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"20 Hadern",3.3,862,25888,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"21 Pasing - Obermenzing",3.4,1430,41538,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"22 Aubing - Lochhausen - Langwied",3.9,1085,27713,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"23 Allach - Untermenzing",3.6,610,17083,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"24 Feldmoching - Hasenbergl",4.2,1292,30642,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2024,"25 Laim",2.7,901,33377,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"Stadt München",3.4,28714,854396,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"01 Altstadt - Lehel",2.7,336,12643,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"02 Ludwigsvorstadt - Isarvorstadt",2.5,762,30133,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"03 Maxvorstadt",2.2,715,32510,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"04 Schwabing - West",2.5,1025,40659,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"05 Au - Haidhausen",3.2,1173,37165,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
"Haushalte Alleinerziehend","insgesamt",2023,"06 Sendling",3.3,797,24314,NA,NA,NA,"Privathaushalte (alleinerziehend) (insgesamt)","Privathaushalte (insgesamt)",NA,NA,NA
