"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Haushalte mit Kindern","deutsch",2024,"Stadt München",14.1,79352,563385,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"01 Altstadt - Lehel",11.4,1022,8958,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",11.5,2452,21368,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"03 Maxvorstadt",9.1,2116,23160,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"04 Schwabing - West",12.1,3570,29415,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"05 Au - Haidhausen",14,3718,26603,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"06 Sendling",11.8,2001,16933,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"07 Sendling - Westpark",12.4,2768,22339,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"08 Schwanthalerhöhe",12,1308,10900,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"09 Neuhausen - Nymphenburg",13.6,5421,39946,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"10 Moosach",13.5,2391,17736,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"11 Milbertshofen - Am Hart",12.2,2521,20645,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"12 Schwabing - Freimann",14,3767,26874,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"13 Bogenhausen",15.8,5325,33690,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"14 Berg am Laim",12.6,1955,15532,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"15 Trudering - Riem",20.3,4933,24304,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"16 Ramersdorf - Perlach",14.3,5020,35148,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"17 Obergiesing - Fasangarten",11.8,2346,19889,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"18 Untergiesing - Harlaching",13.6,2976,21962,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",14.8,5219,35289,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"20 Hadern",14.4,2384,16576,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
"Haushalte mit Kindern","deutsch",2024,"21 Pasing - Obermenzing",17.7,4988,28218,NA,NA,NA,"Privathaushalte (mit Kindern) (deutsch)","Privathaushalte (deutsch)",NA,NA,NA
