"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Migrationshintergrund","deutsch",2024,"Stadt München",27.2,302726,1112955,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"01 Altstadt - Lehel",20.9,3259,15600,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",19.5,7184,36806,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"03 Maxvorstadt",21.1,8112,38404,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"04 Schwabing - West",22.1,11506,52016,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"05 Au - Haidhausen",22.1,10740,48704,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"06 Sendling",22.8,6731,29535,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"07 Sendling - Westpark",27.9,11882,42645,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"08 Schwanthalerhöhe",26.8,5228,19515,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"09 Neuhausen - Nymphenburg",24.6,18410,74863,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"10 Moosach",31.9,11650,36535,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"11 Milbertshofen - Am Hart",40.4,17636,43603,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"12 Schwabing - Freimann",27.3,14556,53365,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"13 Bogenhausen",25.7,17364,67671,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"14 Berg am Laim",33.6,10336,30742,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"15 Trudering - Riem",28.5,16189,56763,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"16 Ramersdorf - Perlach",37.5,28777,76687,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"17 Obergiesing - Fasangarten",26.7,9751,36508,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"18 Untergiesing - Harlaching",20.2,8119,40165,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",25.5,18071,70996,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"20 Hadern",28.7,10089,35210,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"21 Pasing - Obermenzing",23.3,13996,59958,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
"Migrationshintergrund","deutsch",2024,"22 Aubing - Lochhausen - Langwied",33,13167,39910,NA,NA,NA,"Hauptwohnsitzbevölkerung (mit Migrationshintergrund) (deutsch)","Hauptwohnsitzbevölkerung (deutsch)",NA,NA,NA
